"","Member","parliament_group","ideo_avg","tweets","Region","Party"
"1","Aaron Bell","2019-2024",0.0484739676840215,557,"Newcastle-under-Lyme","Conservative"
"2","Abena Oppong-Asare","2019-2024",-0.667527437056165,1549,"Erith and Thamesmead","Labour"
"3","Adam Afriyie","2017-2019",0.445736434108527,516,"Windsor","Conservative"
"4","Adam Afriyie","2019-2024",0.075993091537133,579,"Windsor","Conservative"
"5","Adrian Bailey","2017-2019",-0.631578947368421,114,"West Bromwich West","Labour"
"6","Afzal Khan","2017-2019",-0.827835517397198,2213,"Manchester, Gorton","Labour"
"7","Afzal Khan","2019-2024",-0.762922868741543,3695,"Manchester, Gorton","Labour"
"8","Alan Brown","2017-2019",-0.488933601609658,497,"Kilmarnock and Loudoun","Scottish National Party"
"9","Alan Brown","2019-2024",-0.634469696969697,1056,"Kilmarnock and Loudoun","Scottish National Party"
"10","Alan Campbell","2017-2019",-0.482352941176471,85,"Tynemouth","Labour"
"11","Alan Campbell","2019-2024",-0.496551724137931,145,"Tynemouth","Labour"
"12","Alan Duncan","2017-2019",-0.0520833333333333,384,"Rutland and Melton","Conservative"
"13","Alan Mak","2017-2019",0.174061433447099,586,"Havant","Conservative"
"14","Alan Mak","2019-2024",0.125223613595707,559,"Havant","Conservative"
"15","Alan Whitehead","2017-2019",-0.776,125,"Southampton, Test","Labour"
"16","Alan Whitehead","2019-2024",-0.846938775510204,196,"Southampton, Test","Labour"
"17","Albert Owen","2017-2019",-0.53635652853792,1279,"Ynys Môn (Anglesey)","Labour"
"18","Alberto Costa","2017-2019",0.0498533724340176,682,"South Leicestershire","Conservative"
"19","Alberto Costa","2019-2024",0.0500747384155456,1338,"South Leicestershire","Conservative"
"20","Alec Shelbrooke","2017-2019",0.172701949860724,359,"Elmet and Rothwell","Conservative"
"21","Alec Shelbrooke","2019-2024",0.0396039603960396,303,"Elmet and Rothwell","Conservative"
"22","Alex Burghart","2017-2019",0.144508670520231,173,"Brentwood and Ongar","Conservative"
"23","Alex Burghart","2019-2024",0.102564102564103,273,"Brentwood and Ongar","Conservative"
"24","Alex Chalk","2017-2019",0.06,50,"Cheltenham","Conservative"
"25","Alex Chalk","2019-2024",-0.0967741935483871,186,"Cheltenham","Conservative"
"26","Alex Cunningham","2017-2019",-0.634560906515581,1765,"Stockton North","Labour"
"27","Alex Cunningham","2019-2024",-0.7024230873945,3673,"Stockton North","Labour"
"28","Alex Davies-Jones","2019-2024",-0.642593119135627,3517,"Pontypridd","Labour"
"29","Alex Norris","2017-2019",-0.696489241223103,883,"Nottingham North","Labour"
"30","Alex Norris","2019-2024",-0.715643906655143,1157,"Nottingham North","Labour"
"31","Alex Sobel","2017-2019",-0.623701893708002,3274,"Leeds North West","Labour"
"32","Alex Sobel","2019-2024",-0.636856368563686,3690,"Leeds North West","Labour"
"33","Alexander Stafford","2019-2024",-0.0507910074937552,1201,"Rother Valley","Conservative"
"34","Alicia Kearns","2019-2024",-0.224643529728276,3717,"Rutland and Melton","Conservative"
"35","Alison McGovern","2017-2019",-0.700537955768081,1673,"Wirral South","Labour"
"36","Alison McGovern","2019-2024",-0.705202312138728,1384,"Wirral South","Labour"
"37","Alison Thewliss","2017-2019",-0.669456066945607,2629,"Glasgow Central","Scottish National Party"
"38","Alison Thewliss","2019-2024",-0.689311594202899,2208,"Glasgow Central","Scottish National Party"
"39","Alistair Burt","2017-2019",-0.230769230769231,1079,"North East Bedfordshire","Conservative"
"40","Alistair Carmichael","2017-2019",-0.550561797752809,178,"Orkney and Shetland","Liberal Democrats"
"41","Alistair Carmichael","2019-2024",-0.627412367073651,2539,"Orkney and Shetland","Liberal Democrats"
